x y z
0.617 0.018 3
0.617 0.159 3
0.618 0.154 3
0.618 0.173 3
0.62 0.18 3
0.621 0.133 3
0.621 0.127 3
0.622 0.04 3
0.622 0.14 3
0.623 0.155 3
0.068 0.154 3
0.623 0.173 3
0.623 0.195 1
0.623 0.05 3
0.625 0.148 3
0.626 0.166 3
0.627 0.046 3
0.627 0.188 1
0.628 0.178 1
0.628 0.142 3
0.629 0.154 3
0.068 0 3
0.631 0.184 1
0.633 0.051 3
0.633 0.141 3
0.633 0.174 1
0.634 0.166 3
0.635 0.179 1
0.635 0.148 3
0.637 0.194 1
0.639 0.128 3
0.639 0.015 3
0.068 0.058 3
0.639 0.002 3
0.64 0.177 3
0.641 0.138 3
0.641 0.187 1
0.643 0.166 3
0.643 0.17 3
0.645 0.146 3
0.645 0.024 3
0.647 0.156 3
0.647 0.125 3
0.068 0.167 3
0.648 0.175 3
0.649 0.005 3
0.649 0.189 3
0.649 0.136 3
0.649 0.163 3
0.65 0.169 3
0.651 0.198 3
0.651 0.018 3
0.651 0.154 3
0.653 0.144 3
0.069 0.051 3
0.653 0.149 3
0.653 0.171 3
0.655 0.032 3
0.655 0.012 3
0.655 0.194 3
0.657 0.115 3
0.657 0.132 3
0.657 0.123 3
0.659 0.037 3
0.659 0.179 3
0.069 0.108 3
0.66 0.148 3
0.66 0.166 3
0.662 0.085 3
0.662 0.156 3
0.663 0.022 3
0.663 0.196 3
0.663 0.162 3
0.665 0.014 3
0.665 0.035 3
0.666 0.178 3
0.069 0.102 3
0.667 0.064 3
0.667 0.169 3
0.668 0.022 3
0.668 0.186 3
0.67 0.011 3
0.67 0.182 3
0.67 0.152 3
0.672 0.056 3
0.673 0.142 3
0.673 0.033 3
0.07 0.033 3
0.673 0.158 3
0.674 0.038 3
0.675 0.027 3
0.675 0.097 3
0.675 0.015 3
0.675 0.104 3
0.676 0.121 3
0.677 0.167 3
0.678 0.069 3
0.679 0.144 3
0.07 0.085 3
0.681 0.078 3
0.681 0.156 3
0.681 0.056 3
0.681 0.084 3
0.681 0.18 3
0.682 0.02 3
0.682 0.031 3
0.683 0.011 3
0.683 0.102 3
0.684 0.001 3
0.072 0.015 3
0.005 0.163 3
0.686 0.105 3
0.687 0.094 3
0.689 0.194 3
0.689 0 3
0.689 0.111 3
0.689 0.118 3
0.69 0.033 3
0.692 0.088 3
0.692 0.015 3
0.692 0.025 3
0.072 0.118 3
0.692 0.144 3
0.693 0.068 3
0.693 0.102 3
0.693 0.139 3
0.694 0.121 3
0.694 0.112 3
0.695 0.164 3
0.696 0.04 3
0.697 0.082 3
0.699 0.09 3
0.072 0.148 3
0.701 0.033 3
0.701 0.165 3
0.702 0.056 3
0.704 0.068 3
0.705 0.08 3
0.706 0.156 3
0.706 0.165 3
0.707 0.194 3
0.708 0.038 3
0.708 0.11 3
0.073 0.069 3
0.709 0.09 3
0.709 0.127 3
0.71 0.099 3
0.711 0.026 3
0.711 0.154 3
0.713 0.018 3
0.713 0.13 3
0.714 0.065 3
0.714 0.073 3
0.716 0.175 3
0.073 0.105 3
0.717 0.128 3
0.717 0.184 3
0.717 0.196 3
0.717 0.106 3
0.717 0.136 3
0.718 0.119 3
0.718 0.147 3
0.718 0.022 3
0.718 0.028 3
0.718 0.088 3
0.073 0.075 3
0.719 0.079 3
0.719 0.003 3
0.72 0.096 3
0.721 0.111 3
0.722 0.039 3
0.722 0.143 3
0.722 0.194 3
0.723 0.17 3
0.723 0.152 3
0.723 0.054 3
0.074 0.096 3
0.724 0.126 3
0.724 0.08 3
0.724 0.093 3
0.725 0.188 1
0.725 0.048 3
0.725 0.112 3
0.725 0.161 3
0.727 0.066 3
0.727 0.198 3
0.727 0.071 3
0.074 0.125 3
0.727 0.134 3
0.727 0.154 3
0.728 0.01 3
0.728 0.059 3
0.728 0.117 3
0.729 0.019 3
0.729 0.094 3
0.729 0.15 3
0.729 0.028 3
0.729 0.173 1
0.074 0.198 3
0.73 0.19 3
0.731 0.145 3
0.731 0.155 3
0.732 0.054 3
0.733 0.163 3
0.733 0.066 3
0.734 0.081 3
0.734 0.113 2
0.734 0.179 3
0.735 0.044 3
0.074 0.04 3
0.735 0.12 2
0.738 0.034 3
0.738 0.072 3
0.738 0.14 3
0.739 0.105 3
0.741 0.075 3
0.742 0.097 3
0.743 0.138 3
0.743 0.168 3
0.743 0.003 3
0.074 0.193 3
0.006 0.082 3
0.744 0.09 2
0.744 0.12 3
0.745 0.191 3
0.745 0.127 3
0.745 0.061 3
0.745 0.131 3
0.747 0.153 3
0.747 0.161 3
0.748 0.134 3
0.749 0.091 3
0.075 0.16 3
0.752 0.05 2
0.754 0.095 3
0.755 0.108 3
0.755 0.121 3
0.756 0.054 3
0.756 0.128 3
0.757 0.064 3
0.757 0.15 3
0.758 0.018 2
0.758 0.03 2
0.075 0.051 3
0.758 0.076 3
0.758 0.094 3
0.758 0.18 3
0.759 0.144 3
0.76 0.082 3
0.762 0.101 3
0.762 0.121 3
0.763 0.036 2
0.763 0.077 2
0.764 0.06 2
0.075 0.136 3
0.765 0.195 3
0.766 0.15 3
0.768 0.127 3
0.768 0.088 3
0.769 0.144 3
0.77 0.121 3
0.773 0.047 3
0.773 0.143 3
0.775 0.033 2
0.776 0.122 3
0.075 0.18 3
0.778 0.1 3
0.779 0.135 3
0.779 0.15 3
0.78 0.111 3
0.78 0.141 3
0.782 0.026 2
0.782 0.049 2
0.783 0.134 3
0.783 0.155 3
0.784 0.104 3
0.076 0.083 3
0.786 0.111 3
0.787 0.04 2
0.788 0.14 3
0.788 0.143 3
0.789 0.154 3
0.79 0.098 3
0.79 0.091 2
0.791 0.035 2
0.793 0.143 3
0.796 0.05 2
0.076 0.09 3
0.796 0.154 3
0.797 0.136 3
0.798 0.033 2
0.798 0.14 3
0.801 0.051 2
0.801 0.01 2
0.801 0.164 3
0.802 0.041 2
0.802 0.056 2
0.803 0.139 3
0.076 0.17 3
0.803 0.147 3
0.804 0.102 3
0.805 0.132 3
0.806 0.086 2
0.806 0.116 3
0.807 0.106 3
0.808 0.044 2
0.811 0.13 3
0.811 0.153 3
0.812 0.141 3
0.078 0.107 3
0.814 0.147 3
0.815 0.084 3
0.816 0.163 3
0.816 0.132 3
0.818 0.157 3
0.818 0.033 2
0.818 0.124 1
0.819 0.02 2
0.822 0.136 3
0.824 0.04 2
0.079 0.1 3
0.824 0.16 3
0.825 0.09 2
0.826 0.116 3
0.827 0.13 3
0.829 0.048 2
0.83 0.07 2
0.83 0.007 2
0.831 0.059 2
0.831 0.097 2
0.832 0.182 3
0.08 0.131 3
0.006 0.096 3
0.833 0.111 3
0.833 0.064 2
0.833 0.172 3
0.834 0.002 3
0.834 0.145 3
0.835 0.014 3
0.835 0.157 3
0.836 0.196 3
0.838 0.172 3
0.839 0.132 1
0.081 0.191 3
0.84 0.176 3
0.84 0.185 3
0.841 0.165 3
0.842 0.127 1
0.842 0.136 3
0.843 0.087 2
0.844 0.097 2
0.845 0.149 1
0.846 0.118 3
0.846 0.157 1
0.082 0.162 3
0.848 0.056 3
0.848 0.196 3
0.851 0.153 1
0.851 0.147 1
0.854 0.158 1
0.855 0.166 3
0.855 0.093 2
0.856 0.036 2
0.856 0.071 2
0.856 0.138 1
0.082 0.157 3
0.857 0.176 1
0.857 0.192 3
0.858 0.044 2
0.86 0.157 1
0.86 0.184 3
0.86 0.128 3
0.861 0.166 1
0.864 0.186 3
0.864 0.053 2
0.865 0.172 3
0.083 0.109 3
0.866 0.102 2
0.866 0.164 1
0.867 0.078 3
0.867 0.096 2
0.868 0.056 3
0.869 0.121 3
0.869 0.154 1
0.87 0.183 3
0.872 0.072 3
0.872 0.163 3
0.086 0.122 3
0.874 0.087 2
0.875 0.081 2
0.875 0.184 3
0.876 0.137 3
0.876 0.096 2
0.878 0.034 2
0.879 0.172 3
0.88 0.192 3
0.882 0.029 2
0.882 0.076 3
0.086 0.195 3
0.883 0.038 2
0.883 0.134 3
0.883 0.15 3
0.884 0.072 3
0.884 0.107 3
0.884 0.004 2
0.885 0.162 3
0.886 0.087 3
0.887 0.121 3
0.888 0.169 3
0.089 0.18 3
0.891 0.049 2
0.892 0.196 3
0.892 0.144 3
0.894 0.074 3
0.895 0.13 3
0.896 0.189 3
0.897 0.153 3
0.897 0.181 3
0.897 0.032 3
0.897 0.119 3
0.09 0.127 3
0.9 0.014 3
0.901 0.038 2
0.901 0.17 3
0.903 0.162 3
0.905 0.14 3
0.907 0.177 3
0.907 0.188 3
0.908 0.024 3
0.909 0.005 3
0.909 0.129 3
0.09 0.17 3
0.91 0.156 3
0.91 0.038 3
0.91 0.195 3
0.912 0.112 3
0.912 0.099 3
0.914 0.133 1
0.914 0.176 3
0.915 0.003 3
0.915 0.04 3
0.916 0.088 3
0.092 0.19 3
0.007 0.02 3
0.916 0.022 2
0.916 0.146 1
0.918 0.164 3
0.919 0.046 3
0.919 0.139 1
0.92 0.124 1
0.921 0.11 3
0.921 0.178 3
0.922 0.16 3
0.922 0.134 1
0.093 0.135 3
0.922 0.192 3
0.925 0.164 2
0.926 0.054 3
0.926 0.069 3
0.926 0.174 3
0.926 0.044 3
0.927 0.146 1
0.927 0.021 3
0.928 0.007 3
0.929 0.082 3
0.094 0.181 3
0.93 0.101 3
0.93 0.169 3
0.93 0.124 3
0.931 0.183 3
0.931 0.14 1
0.932 0.111 3
0.933 0.095 3
0.933 0.028 3
0.933 0.193 3
0.934 0.06 3
0.095 0.145 3
0.934 0.083 3
0.934 0.135 1
0.934 0.146 1
0.934 0.154 1
0.934 0.162 2
0.935 0.074 3
0.936 0.105 3
0.936 0.173 2
0.937 0.091 3
0.94 0.154 1
0.096 0.155 3
0.941 0.031 3
0.942 0.146 1
0.942 0.04 3
0.942 0.16 3
0.943 0.169 3
0.944 0.128 2
0.944 0.151 1
0.944 0.113 3
0.946 0.141 3
0.946 0.175 3
0.097 0.008 3
0.947 0.057 3
0.947 0.102 3
0.947 0.12 2
0.947 0.145 1
0.948 0.061 3
0.948 0.182 1
0.949 0.108 3
0.95 0.176 1
0.95 0.086 3
0.95 0.098 3
0.097 0.07 3
0.95 0.169 1
0.951 0.07 3
0.951 0.159 2
0.952 0.153 3
0.954 0.047 3
0.954 0.148 2
0.954 0.186 1
0.955 0.058 3
0.955 0.141 2
0.955 0.195 3
0.097 0.194 3
0.956 0.114 1
0.958 0.068 3
0.958 0.129 2
0.958 0.171 3
0.959 0.072 3
0.96 0.081 3
0.96 0.177 1
0.96 0.191 3
0.961 0.059 3
0.962 0.003 3
0.098 0.168 3
0.962 0.103 3
0.964 0.116 3
0.964 0.189 3
0.968 0.015 3
0.968 0.056 3
0.968 0.169 2
0.968 0.132 3
0.969 0.001 3
0.969 0.114 3
0.97 0.083 3
0.098 0.019 3
0.971 0.029 3
0.971 0.138 2
0.971 0.176 3
0.971 0.194 1
0.972 0.024 3
0.972 0.109 3
0.973 0.077 3
0.974 0.099 1
0.975 0.046 3
0.976 0.032 3
0.1 0.06 3
0.007 0.088 3
0.978 0.065 3
0.978 0.189 1
0.978 0.196 3
0.978 0.093 1
0.978 0.109 1
0.978 0.121 3
0.98 0.058 3
0.982 0.044 3
0.982 0.004 3
0.982 0.1 1
0.1 0.082 3
0.983 0.022 3
0.984 0.057 3
0.984 0.065 1
0.984 0.126 3
0.986 0.096 1
0.987 0.007 3
0.988 0.103 3
0.988 0.05 3
0.989 0.056 3
0.989 0.092 3
0.1 0.16 3
0.99 0.139 3
0.99 0.173 3
0.99 0.067 1
0.99 0.108 1
0.991 0.071 1
0.991 0.082 1
0.991 0.197 3
0.993 0.001 3
0.994 0.124 3
0.994 0.046 3
0.101 0.002 3
0.994 0.091 1
0.994 0.115 3
0.995 0.077 1
0.995 0.151 3
0.996 0.138 3
0.996 0.171 3
0.996 0.196 3
0.997 0.052 3
0.997 0.088 1
0.998 0.062 3
0.102 0.024 3
0.998 0.107 1
0 0.226 3
0 0.295 3
0.001 0.337 3
0.002 0.212 3
0.002 0.269 3
0.003 0.329 3
0.003 0.275 3
0.004 0.258 3
0.004 0.35 3
0.102 0.186 3
0.004 0.264 3
0.004 0.299 3
0.005 0.226 3
0.006 0.359 3
0.006 0.248 3
0.007 0.238 3
0.007 0.337 3
0.009 0.285 3
0.012 0.214 3
0.012 0.27 3
0.103 0.054 3
0.014 0.308 3
0.014 0.317 3
0.014 0.231 3
0.015 0.339 3
0.016 0.208 3
0.016 0.346 3
0.017 0.245 3
0.018 0.313 3
0.02 0.277 3
