x y z
0.037 0.178 3
0.038 0.109 3
0.041 0.113 3
0.043 0.146 3
0.043 0.127 3
0.044 0.151 3
0.048 0.121 3
0.048 0.101 3
0.049 0.167 3
0.05 0.129 3
0.095 0.043 3
0.051 0.175 3
0.051 0.117 3
0.052 0.146 3
0.053 0.18 3
0.055 0.132 3
0.055 0.174 3
0.056 0.164 3
0.057 0.126 3
0.058 0.152 3
0.059 0.181 2
0.096 0.09 3
0.061 0.1 2
0.062 0.117 3
0.062 0.171 3
0.063 0.177 3
0.063 0.161 3
0.063 0.105 2
0.064 0.181 2
0.068 0.193 3
0.07 0.187 2
0.071 0.157 3
0.097 0.087 3
0.073 0.182 2
0.074 0.102 3
0.074 0.122 3
0.075 0.175 2
0.075 0.186 3
0.077 0.114 3
0.077 0.151 3
0.078 0.158 3
0.08 0.119 3
0.082 0.198 3
0.097 0.072 3
0.082 0.143 3
0.083 0.106 3
0.084 0.1 3
0.085 0.177 2
0.085 0.156 3
0.085 0.169 3
0.086 0.102 3
0.087 0.114 3
0.088 0.148 3
0.089 0.185 2
0.1 0.046 3
0.089 0.106 2
0.089 0.18 2
0.091 0.171 2
0.092 0.121 3
0.092 0.163 2
0.093 0.136 2
0.098 0.16 2
0.101 0.176 2
0.102 0.139 2
0.103 0.172 2
0.1 0.091 3
0.103 0.184 2
0.105 0.117 2
0.109 0.152 2
0.11 0.165 2
0.111 0.106 2
0.111 0.189 2
0.112 0.195 3
0.113 0.122 1
0.113 0.162 2
0.115 0.149 3
0.102 0.034 3
0.116 0.166 3
0.116 0.131 3
0.118 0.101 2
0.12 0.112 3
0.12 0.128 3
0.121 0.133 3
0.122 0.195 3
0.122 0.177 3
0.123 0.165 2
0.124 0.123 3
0.102 0.071 2
0.124 0.169 3
0.125 0.104 2
0.126 0.114 2
0.126 0.156 3
0.126 0.178 3
0.126 0.133 3
0.127 0.141 3
0.127 0.183 3
0.128 0.128 3
0.128 0.175 2
0.103 0.057 3
0.128 0.171 2
0.129 0.104 2
0.132 0.193 3
0.133 0.118 2
0.133 0.138 3
0.134 0.149 3
0.134 0.159 3
0.135 0.13 3
0.137 0.122 3
0.139 0.175 2
0.104 0.083 3
0.006 0.084 3
0.139 0.18 2
0.139 0.109 2
0.139 0.137 3
0.14 0.167 3
0.143 0.16 3
0.143 0.101 2
0.147 0.11 2
0.147 0.125 3
0.147 0.195 2
0.148 0.15 3
0.106 0.048 3
0.148 0.116 2
0.148 0.163 3
0.148 0.186 2
0.149 0.113 2
0.152 0.152 3
0.152 0.111 2
0.153 0.136 3
0.153 0.144 3
0.155 0.155 3
0.157 0.118 3
0.107 0.058 3
0.157 0.15 3
0.157 0.14 3
0.16 0.13 3
0.16 0.137 3
0.16 0.114 3
0.16 0.106 3
0.162 0.1 3
0.163 0.156 3
0.163 0.164 3
0.164 0.138 3
0.108 0.064 3
0.167 0.101 3
0.168 0.171 3
0.169 0.161 3
0.169 0.109 3
0.17 0.145 3
0.17 0.198 3
0.171 0.12 3
0.172 0.154 3
0.173 0.1 3
0.173 0.144 3
0.108 0.069 2
0.175 0.188 3
